Customer_ID,Age,Gender,Income_Category,Occupation,Region,Card_Type,Card_Age_Months,Credit_Limit,Account_Balance,Monthly_Income,Monthly_Spend,Yearly_Spend,Total_Purchases,Total_Transactions,Avg_Transactions_Per_Month,Offers_Redeemed,Offer_Utilization_Rate,Payment_Method,Monthly_Cash_Advance,Yearly_Cash_Advance,Revolving_Balance,Days_Since_Last_Transaction,Customer_Segment,Usage_Level,Cluster,Reward_Tier,Reward_Priority
CUST_07631,58,Other,Low,Self-Employed,Metro,Titanium,100,38944.54,8048.85,13595.54,6444.64,50159.43,77335.73,42,192.77,19,0.748,UPI,185.09,2244.07,2025.23,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_01033,39,Male,High,Self-Employed,West,Gold,103,34342.51,5914.43,2267.73,6444.39,58293.27,77332.73,85,158.95,14,0.286,Bank Transfer,121.06,1504.18,3052.75,6,Heavy_Spenders,Very High,1,Platinum,3
CUST_02046,47,Other,High,Government Employee,East,Titanium,31,35469.78,3264.64,5291.03,6444.01,73988.81,77328.18,35,146.49,19,0.604,UPI,201.82,2656.69,1752.98,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_04969,43,Male,High,Salaried Employee,West,Gold,14,32147.76,8829.46,6035.34,6440.23,36058.04,77282.72,88,147.93,39,0.617,Wallet,26.86,277.34,6823.03,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_05846,53,Male,Low,Freelancer,Metro,Platinum,43,17744.47,8719.37,3136.27,6438.56,43473.69,77262.76,64,200.46,38,0.68,Auto Debit,264.27,3261.24,907.98,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_02929,28,Male,Very High,Salaried Employee,West,Titanium,79,34028.49,4974.19,19263.78,6438.1,55707.27,77257.17,47,214.76,13,0.261,UPI,36.99,500.98,3893.44,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_04357,24,Other,Very High,Freelancer,Metro,Titanium,92,24684.69,8078.06,27833.5,6432.96,62021.62,77195.48,85,151.3,29,0.584,Credit Card Payment,119.49,1364.48,2649.94,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_05198,34,Female,Low,Business Owner,East,Titanium,53,29326.13,8704.8,14781.84,6429.14,70551.03,77149.65,40,194.91,31,0.267,Auto Debit,45.59,608.63,4120.24,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_02884,52,Female,Low,Self-Employed,West,Platinum,84,37130.28,5817.65,28618.5,6421.9,37210.21,77062.75,62,114.67,19,0.318,UPI,313.49,3852.22,2319.49,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_03584,25,Male,Low,Freelancer,West,Silver,32,15928.65,3697.0,24918.13,6421.05,75613.2,77052.56,72,125.64,20,0.184,UPI,251.05,3157.51,1889.77,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_04954,69,Female,Low,Student,Metro,Platinum,38,17999.78,2508.53,8486.85,6417.12,32927.28,77005.5,53,219.63,12,0.385,UPI,127.19,1661.45,1314.34,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_03084,52,Other,Low,Salaried Employee,Central,Titanium,8,33644.35,7926.15,29687.07,6416.28,62388.9,76995.38,55,146.09,28,0.25,Wallet,128.55,1592.51,3456.88,4,Heavy_Spenders,Very High,1,Platinum,3
CUST_04742,21,Male,High,Student,Central,Gold,49,24563.68,6135.9,27957.06,6416.27,69443.8,76995.26,37,89.96,30,0.645,Bank Transfer,282.77,3317.09,2583.59,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_01594,57,Other,High,Salaried Employee,East,Platinum,103,21887.73,4023.19,11310.79,6415.01,74771.09,76980.13,51,117.98,13,0.744,Wallet,64.23,868.53,2859.46,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_01209,61,Male,Medium,Student,North,Titanium,92,36164.22,2027.23,5450.9,6408.06,39529.38,76896.68,42,84.88,33,0.134,UPI,72.8,911.13,1265.99,12,Heavy_Spenders,Very High,1,Platinum,3
CUST_02846,39,Other,High,Student,West,Platinum,99,19001.94,4971.16,22470.78,6406.02,56483.29,76872.26,50,125.25,32,0.297,Wallet,77.32,1001.25,1255.73,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_00343,49,Female,Very High,Salaried Employee,Metro,Titanium,41,17487.45,8595.12,4294.28,6405.96,48060.45,76871.5,66,84.85,25,0.261,UPI,172.74,2044.01,1137.49,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_06256,42,Male,High,Salaried Employee,East,Gold,103,17579.2,3833.3,24828.27,6404.75,32872.01,76857.02,60,88.02,27,0.547,UPI,266.55,3056.07,2786.14,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_04671,70,Other,Very High,Salaried Employee,East,Silver,31,21642.0,6651.59,4969.0,6404.52,73788.16,76854.2,39,172.13,21,0.352,Credit Card Payment,330.11,4451.62,1598.35,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_05308,68,Other,Low,Retired,South,Silver,94,39616.87,6799.08,25674.23,6401.06,69968.47,76812.68,50,92.48,32,0.622,Auto Debit,163.84,1796.82,4709.68,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_06421,31,Female,Medium,Freelancer,West,Gold,26,22729.37,4902.86,25949.71,6400.91,71763.86,76810.96,46,106.62,18,0.554,Wallet,322.38,3654.06,1810.82,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_01329,45,Male,High,Salaried Employee,North,Silver,36,12824.39,7224.38,13259.29,6388.73,59773.78,76664.74,47,161.09,27,0.616,UPI,228.69,2738.6,5525.08,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_03481,22,Male,Medium,Freelancer,North,Silver,78,22391.62,4566.62,3456.81,6388.56,44699.26,76662.76,63,171.0,19,0.424,Bank Transfer,303.41,3804.28,2276.86,12,Heavy_Spenders,Very High,1,Platinum,3
CUST_07019,51,Male,Very High,Salaried Employee,South,Titanium,112,20892.53,3287.06,5175.9,6386.62,43203.05,76639.41,48,204.82,27,0.427,UPI,197.01,2667.88,2138.26,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_06916,39,Male,Very High,Self-Employed,South,Gold,112,14345.69,6114.31,19374.1,6386.19,58490.13,76634.33,89,133.45,36,0.192,Credit Card Payment,136.8,1398.87,2724.5,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_05800,28,Female,Medium,Freelancer,North,Titanium,38,23833.84,8371.7,28465.67,6385.83,59736.61,76629.92,56,188.21,30,0.308,UPI,279.09,3149.1,3535.59,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_06864,38,Other,Medium,Salaried Employee,West,Silver,92,13174.32,8772.3,13159.7,6383.84,60458.94,76606.13,68,162.47,14,0.749,Wallet,304.54,3455.39,2026.82,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_06361,30,Male,Low,Salaried Employee,East,Silver,110,36264.77,2632.5,18858.86,6378.56,73824.67,76542.7,65,155.25,29,0.347,UPI,325.07,3544.11,1062.26,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_05498,56,Other,High,Salaried Employee,West,Platinum,59,16804.93,1851.74,9254.65,6378.24,50810.73,76538.89,88,97.14,26,0.276,UPI,300.52,4115.0,983.46,6,Heavy_Spenders,Very High,1,Platinum,3
CUST_01095,52,Other,Medium,Self-Employed,Metro,Gold,29,34520.22,8203.23,2027.97,6377.85,64525.03,76534.25,74,123.42,12,0.75,UPI,238.4,3017.4,6714.05,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_07171,48,Male,Very High,Professional,East,Gold,36,35763.99,6477.39,6480.03,6376.88,39020.38,76522.52,85,119.01,29,0.72,Bank Transfer,222.11,2906.13,1077.56,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_03748,70,Female,Very High,Self-Employed,North,Gold,60,34829.65,8739.01,19192.84,6376.59,74296.2,76519.14,53,139.61,27,0.325,Credit Card Payment,126.74,1507.97,3381.14,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_05602,34,Other,High,Freelancer,North,Platinum,106,25589.52,2210.75,12399.53,6373.0,70784.49,76476.05,84,100.78,34,0.209,Credit Card Payment,111.09,1384.27,760.78,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_07733,39,Female,Medium,Student,North,Gold,104,16149.1,6911.47,17809.25,6368.36,59847.62,76420.33,48,115.7,33,0.21,Auto Debit,136.08,1561.87,4361.8,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_02696,31,Female,Medium,Self-Employed,South,Silver,103,37109.88,6321.96,25952.14,6367.03,65037.26,76404.42,46,113.9,33,0.367,UPI,119.39,1537.94,1905.04,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_01456,23,Female,Very High,Freelancer,Central,Silver,31,23331.76,2151.62,25388.52,6365.0,42282.59,76379.98,46,122.17,30,0.441,Credit Card Payment,305.02,3554.45,1704.79,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_03835,47,Female,Medium,Self-Employed,East,Gold,73,21549.88,4157.52,21408.15,6364.18,39359.23,76370.16,44,210.77,21,0.687,Auto Debit,326.45,4362.89,2357.62,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_00614,41,Female,Very High,Freelancer,South,Titanium,37,18798.44,4131.14,2082.96,6363.98,73765.12,76367.74,36,175.22,29,0.316,UPI,77.88,1074.69,1015.41,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_05276,42,Other,High,Student,South,Gold,50,24290.4,6955.0,16147.74,6362.63,45079.94,76351.57,78,128.12,12,0.191,UPI,231.77,2997.71,2397.55,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_03444,41,Male,Medium,Government Employee,South,Silver,21,38110.1,5613.29,7077.17,6355.37,46863.08,76264.49,85,113.45,27,0.622,Credit Card Payment,191.21,2382.8,4114.43,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_00288,33,Other,Low,Professional,South,Titanium,63,14788.23,1915.4,16412.78,6354.74,48095.34,76256.89,56,177.29,16,0.344,UPI,201.48,2146.6,1138.64,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_00621,45,Male,Low,Government Employee,Metro,Gold,96,22006.54,8755.15,17456.91,6354.2,51298.33,76250.38,49,154.36,15,0.447,Wallet,286.71,3952.59,3327.93,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_00082,65,Female,Medium,Self-Employed,South,Silver,6,16372.59,3488.84,22463.23,6353.39,42254.71,76240.65,35,197.34,37,0.331,UPI,85.45,1127.2,2912.89,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_04648,71,Female,Very High,Student,South,Gold,72,19402.8,5955.58,20732.57,6346.78,55782.17,76161.32,75,141.05,14,0.637,Auto Debit,52.11,697.76,2482.93,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_06078,59,Male,Low,Freelancer,Central,Titanium,20,18193.15,2632.55,15861.67,6340.95,61116.27,76091.35,51,197.19,39,0.252,UPI,64.68,708.65,851.7,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_05871,63,Female,Medium,Student,East,Silver,111,19534.65,7100.89,7079.83,6339.86,52345.46,76078.31,38,208.47,25,0.536,Wallet,115.11,1513.92,6578.28,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_04809,31,Female,High,Salaried Employee,West,Silver,16,25314.81,3431.86,20948.32,6333.62,35518.13,76003.39,84,182.1,13,0.665,UPI,152.7,1913.14,1837.64,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_06562,22,Male,Very High,Freelancer,South,Platinum,114,29981.48,2629.26,19496.82,6332.03,51200.95,75984.33,71,134.42,15,0.155,Credit Card Payment,270.0,3006.31,640.92,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_06372,49,Female,Medium,Student,East,Platinum,34,27162.6,6165.97,3530.84,6331.76,56096.41,75981.08,74,201.51,24,0.09,Wallet,231.7,3156.88,3937.03,12,Heavy_Spenders,Very High,1,Platinum,3
CUST_00092,64,Female,Medium,Salaried Employee,East,Gold,92,13683.99,5848.54,15025.76,6330.5,38414.54,75966.01,65,185.68,34,0.439,Auto Debit,287.63,2935.13,2080.47,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_06225,22,Female,Medium,Retired,West,Silver,106,16335.47,7598.21,21814.62,6327.93,34907.35,75935.22,89,187.48,15,0.44,Wallet,49.94,608.47,6130.63,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_04096,56,Other,Very High,Business Owner,North,Titanium,17,31247.32,7618.06,28642.15,6325.46,72736.24,75905.53,59,125.6,15,0.502,Wallet,122.37,1409.94,5680.14,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_07658,45,Female,Very High,Self-Employed,Central,Silver,67,28405.1,2125.39,7546.87,6324.77,46402.18,75897.21,40,188.84,25,0.287,Credit Card Payment,12.0,122.67,686.59,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_05588,67,Female,Medium,Professional,Central,Silver,64,32044.95,5489.06,18591.09,6321.85,54991.45,75862.14,73,127.58,38,0.648,Bank Transfer,299.76,3975.72,4289.2,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_01858,43,Other,Low,Government Employee,Metro,Gold,110,33452.22,2370.64,15181.81,6320.82,59162.33,75849.87,76,158.13,27,0.44,Credit Card Payment,62.28,741.26,1991.04,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_01886,29,Other,Very High,Government Employee,Central,Silver,65,23964.47,7330.15,6183.89,6320.27,72783.42,75843.21,39,91.93,20,0.621,Bank Transfer,125.98,1635.95,2339.19,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_01760,43,Female,Medium,Professional,Metro,Titanium,11,32617.45,6854.57,9852.88,6319.71,64772.24,75836.5,50,105.84,12,0.613,Bank Transfer,105.03,1351.59,2017.98,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_03395,63,Female,Low,Professional,North,Gold,69,33921.05,8931.89,22123.75,6316.87,64262.74,75802.42,62,169.47,33,0.372,UPI,3.72,44.95,7596.17,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_01072,23,Male,Medium,Salaried Employee,South,Titanium,90,20528.46,6610.04,10002.59,6316.45,45813.76,75797.45,46,209.35,33,0.37,Auto Debit,119.65,1418.44,2273.52,4,Heavy_Spenders,Very High,1,Platinum,3
CUST_02303,43,Female,Low,Freelancer,North,Silver,69,30351.8,5129.38,24997.49,6316.23,40296.24,75794.73,62,170.56,22,0.652,Wallet,325.48,3331.83,4098.67,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_06608,70,Male,High,Retired,North,Gold,113,19599.2,4354.99,19614.64,6313.43,71901.36,75761.14,74,118.85,28,0.122,Credit Card Payment,276.06,3643.78,3468.5,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_01359,62,Other,Medium,Government Employee,Central,Gold,32,26876.69,2193.65,20630.9,6310.99,68041.79,75731.84,65,170.34,39,0.574,Credit Card Payment,281.99,3849.55,1998.67,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_06209,56,Male,Very High,Professional,West,Gold,110,34731.85,8380.12,10117.22,6310.19,64595.18,75722.26,55,199.64,34,0.394,Auto Debit,7.68,86.25,6132.56,4,Heavy_Spenders,Very High,1,Platinum,3
CUST_03628,21,Female,Low,Salaried Employee,Central,Gold,47,36765.98,5109.36,12234.66,6305.9,41632.32,75670.83,41,91.87,39,0.275,Bank Transfer,69.97,852.3,835.4,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_02204,63,Female,Very High,Student,North,Gold,51,24492.38,4223.49,3760.85,6304.25,62360.37,75651.01,73,117.36,39,0.602,Wallet,59.97,627.37,2426.34,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_05279,34,Male,High,Freelancer,West,Titanium,63,27496.34,3066.41,21140.33,6302.31,60064.78,75627.74,50,157.47,19,0.426,Wallet,45.38,517.45,2813.7,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_07215,26,Male,Very High,Government Employee,East,Silver,63,32397.51,8683.68,24553.82,6299.3,51951.45,75591.58,72,133.86,38,0.277,Credit Card Payment,128.44,1711.52,3095.63,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_07644,34,Female,Low,Self-Employed,West,Gold,35,13310.06,6028.77,12112.25,6297.22,47272.74,75566.64,66,169.87,15,0.246,UPI,94.48,1255.81,1576.6,4,Heavy_Spenders,Very High,1,Platinum,3
CUST_07070,27,Other,Very High,Retired,North,Titanium,67,37474.17,8954.1,21333.41,6296.21,51481.66,75554.46,47,99.6,36,0.502,Wallet,6.5,86.59,3608.92,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_07216,48,Male,Low,Freelancer,Central,Gold,56,33427.91,5016.93,16725.61,6294.6,34725.36,75535.18,50,184.58,33,0.684,UPI,284.82,3586.1,2991.91,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_00410,33,Other,Very High,Salaried Employee,Central,Platinum,46,27256.69,3841.25,16113.96,6293.7,70438.28,75524.41,39,214.66,17,0.151,Auto Debit,224.97,2770.68,3308.95,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_06546,43,Male,Medium,Freelancer,Metro,Silver,119,25023.3,8972.29,27015.51,6293.25,63875.54,75518.99,54,218.61,31,0.657,Wallet,83.43,1020.34,2413.37,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_04810,26,Other,Low,Retired,Metro,Titanium,113,12416.72,6015.66,18000.03,6286.05,56568.51,75432.65,51,174.55,35,0.663,Credit Card Payment,13.4,156.0,3758.7,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_07119,56,Female,High,Self-Employed,South,Titanium,84,16825.12,5738.87,23025.16,6285.14,61602.17,75421.63,56,137.49,24,0.461,UPI,305.4,4078.64,3842.54,6,Heavy_Spenders,Very High,1,Platinum,3
CUST_03353,59,Male,Medium,Business Owner,South,Silver,90,31559.41,6259.13,3322.44,6281.69,49284.34,75380.27,48,121.63,27,0.182,Auto Debit,8.89,92.73,4426.07,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_07461,21,Male,Very High,Professional,North,Gold,103,13689.72,8858.32,14645.32,6280.29,42744.36,75363.53,37,189.23,39,0.523,Bank Transfer,11.42,155.34,1117.04,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_04999,69,Female,Low,Salaried Employee,Central,Titanium,92,21023.24,4637.95,23193.87,6278.3,35287.92,75339.61,46,90.43,34,0.224,UPI,98.83,1016.7,3824.18,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_06627,26,Male,Medium,Self-Employed,Metro,Titanium,103,25869.29,6523.16,28176.85,6278.23,62253.34,75338.72,75,155.17,29,0.244,UPI,312.19,3258.78,5684.61,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_06210,57,Other,Very High,Government Employee,Central,Gold,48,29387.21,2120.42,24312.96,6275.98,34812.75,75311.72,75,186.94,26,0.164,Credit Card Payment,97.59,1076.93,952.8,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_06718,34,Male,Low,Retired,East,Gold,10,21158.08,4862.95,24671.17,6273.23,65719.76,75278.73,83,100.6,38,0.12,Wallet,272.25,3337.1,3359.54,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_07037,54,Other,High,Retired,Metro,Titanium,33,34928.8,7251.2,21287.29,6272.23,75996.11,75266.75,68,203.96,39,0.716,Bank Transfer,45.66,551.25,3427.03,4,Heavy_Spenders,Very High,1,Platinum,3
CUST_04487,65,Female,Medium,Self-Employed,North,Gold,20,33490.93,6766.99,18049.27,6268.68,72425.87,75224.18,57,178.52,31,0.605,Auto Debit,166.56,2158.36,3074.04,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_06492,50,Female,Low,Retired,South,Gold,93,15183.07,5294.75,6324.42,6268.43,36386.64,75221.13,58,186.37,29,0.486,Auto Debit,187.6,1987.6,3482.6,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_06367,42,Female,Medium,Salaried Employee,East,Platinum,74,29438.5,4755.67,6047.34,6267.07,46286.91,75204.85,83,142.11,16,0.608,UPI,11.42,151.79,739.86,12,Heavy_Spenders,Very High,1,Platinum,3
CUST_02672,68,Male,Low,Retired,Metro,Silver,107,16472.76,3119.8,19928.2,6263.68,70388.81,75164.21,61,201.06,33,0.457,Credit Card Payment,245.06,2667.51,2375.03,5,Heavy_Spenders,Very High,1,Platinum,3
CUST_05401,39,Other,Low,Business Owner,South,Titanium,115,29337.13,3064.63,19240.14,6261.79,55331.52,75141.46,41,100.77,32,0.457,Wallet,84.39,939.84,627.15,6,Heavy_Spenders,Very High,1,Platinum,3
CUST_07684,46,Male,Low,Freelancer,East,Platinum,110,22763.42,6373.39,23770.56,6258.98,49051.78,75107.74,84,100.76,37,0.71,Credit Card Payment,135.18,1813.85,1147.37,11,Heavy_Spenders,Very High,1,Platinum,3
CUST_04027,42,Other,Very High,Freelancer,Metro,Platinum,119,13572.8,7257.82,19993.17,6258.85,42875.91,75106.14,77,100.43,26,0.525,Auto Debit,277.78,2861.02,2495.06,12,Heavy_Spenders,Very High,1,Platinum,3
CUST_03592,59,Other,High,Retired,Central,Silver,36,34591.94,4002.13,5064.15,6252.85,48251.72,75034.25,53,153.32,34,0.671,Credit Card Payment,50.43,567.59,2743.99,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_05171,42,Female,Very High,Salaried Employee,South,Titanium,46,23919.62,3158.0,26708.98,6242.05,77799.73,74904.6,68,183.74,19,0.717,UPI,89.31,1189.93,1693.03,4,Heavy_Spenders,Very High,1,Platinum,3
